item_number,name,year,theme,subtheme,pieces,minifigures,image_URL,price
10246,Detective's Office,2015,Advanced Models,Modular Buildings,2262,6,http://images.brickset.com/sets/images/10246-1.jpg,132.99
10247,Ferris Wheel,2015,Advanced Models,Fairground,2464,10,http://images.brickset.com/sets/images/10247-1.jpg,149.99
10248,Ferrari F40,2015,Advanced Models,Vehicles,1158,NA,http://images.brickset.com/sets/images/10248-1.jpg,69.99
10249,Toy Shop,2015,Advanced Models,Winter Village,898,NA,http://images.brickset.com/sets/images/10249-1.jpg,59.99
10581,Ducks,2015,Duplo,Forest Animals,13,1,http://images.brickset.com/sets/images/10581-1.jpg,9.99
10582,Animals,2015,Duplo,Forest Animals,39,2,http://images.brickset.com/sets/images/10582-1.jpg,16.99
10583,Fishing Trip,2015,Duplo,Forest Animals,32,2,http://images.brickset.com/sets/images/10583-1.jpg,19.99
10584,Forest,2015,Duplo,Forest Animals,105,3,http://images.brickset.com/sets/images/10584-1.jpg,49.99
10585,Mom and Baby,2015,Duplo,,13,2,http://images.brickset.com/sets/images/10585-1.jpg,8.99
10586,Ice Cream Truck,2015,Duplo,,11,2,http://images.brickset.com/sets/images/10586-1.jpg,12.99
10587,Cafe,2015,Duplo,,52,3,http://images.brickset.com/sets/images/10587-1.jpg,17.99
10589,Rally Car,2015,Duplo,,13,1,http://images.brickset.com/sets/images/10589-1.jpg,12.99
10590,Airport,2015,Duplo,,29,NA,http://images.brickset.com/sets/images/10590-1.jpg,16.99
10591,Fire Boat,2015,Duplo,Fire,19,NA,http://images.brickset.com/sets/images/10591-1.jpg,12.99
10592,Fire Truck,2015,Duplo,Fire,26,NA,http://images.brickset.com/sets/images/10592-1.jpg,19.99
10593,Fire Station,2015,Duplo,Fire,105,NA,http://images.brickset.com/sets/images/10593-1.jpg,44.99
10594,Sofia the First Royal Stable,2015,Duplo,,38,1,http://images.brickset.com/sets/images/10594-1.jpg,19.99
10595,Sofia the First Royal Castle,2015,Duplo,,87,2,http://images.brickset.com/sets/images/10595-1.jpg,39.99
10596,Disney Princess Collection,2015,Duplo,Disney Princess,63,NA,http://images.brickset.com/sets/images/10596-1.jpg,34.99
10597,Mickey & Minnie Birthday Parade,2015,Duplo,,24,NA,http://images.brickset.com/sets/images/10597-1.jpg,19.99
10599,Batman Adventure,2015,Duplo,,47,NA,http://images.brickset.com/sets/images/10599-1.jpg,29.99
10600,Classic Race,2015,Duplo,Cars,29,NA,http://images.brickset.com/sets/images/10600-1.jpg,20.99
10601,Delivery Vehicle,2015,Duplo,,19,NA,http://images.brickset.com/sets/images/10601-1.jpg,14.99
10602,Camping,2015,Duplo,,38,NA,http://images.brickset.com/sets/images/10602-1.jpg,24.99
10603,My First Bus,2015,Duplo,,17,1,http://images.brickset.com/sets/images/10603-1.jpg,12.99
10604,Jake and the Never Land Pirates Treasure Island,2015,Duplo,,25,NA,http://images.brickset.com/sets/images/10604-1.jpg,16.99
10605,Doc McStuffins Rosie the Ambulance,2015,Duplo,,16,NA,http://images.brickset.com/sets/images/10605-1.jpg,16.99
10606,Doc McStuffins Backyard Clinic,2015,Duplo,,39,NA,http://images.brickset.com/sets/images/10606-1.jpg,19.99
10607,Spider-man 1,2015,Duplo,,NA,NA,http://images.brickset.com/sets/images/10607-1.jpg,NA
10608,Spider-man 2,2015,Duplo,,NA,NA,http://images.brickset.com/sets/images/10608-1.jpg,NA
10615,My First Tractor,2015,Duplo,,12,2,http://images.brickset.com/sets/images/10615-1.jpg,9.99
10616,My First Playhouse,2015,Duplo,,25,2,http://images.brickset.com/sets/images/10616-1.jpg,14.99
10617,My First Farm,2015,Duplo,,26,2,http://images.brickset.com/sets/images/10617-1.jpg,14.99
10618,Creative Building Box,2015,Duplo,,70,2,http://images.brickset.com/sets/images/10618-1.jpg,19.99
10622,Large Creative Box,2015,Duplo,,193,NA,http://images.brickset.com/sets/images/10622-1.jpg,49.99
10677,Beach Trip,2015,Juniors,,74,1,http://images.brickset.com/sets/images/10677-1.jpg,9.99
10679,Pirate Treasure Hunt,2015,Juniors,Pirates,57,2,http://images.brickset.com/sets/images/10679-1.jpg,9.99
10680,Garbage Truck,2015,Juniors,,99,2,http://images.brickset.com/sets/images/10680-1.jpg,15.99
10683,Road Work Truck,2015,Juniors,,132,2,http://images.brickset.com/sets/images/10683-1.jpg,15.99
10684,Supermarket Suitcase,2015,Juniors,,134,2,http://images.brickset.com/sets/images/10684-1.jpg,19.99
10685,Fire Suitcase,2015,Juniors,,113,2,http://images.brickset.com/sets/images/10685-1.jpg,19.99
10686,Family House,2015,Juniors,,226,3,http://images.brickset.com/sets/images/10686-1.jpg,24.99
10687,Spider-Man Hideout,2015,Juniors,,137,NA,http://images.brickset.com/sets/images/10687-1.jpg,29.99
10692,Creative Bricks,2015,Classic,,221,NA,http://images.brickset.com/sets/images/10692-1.jpg,12.99
10693,Creative Supplement,2015,Classic,,303,NA,http://images.brickset.com/sets/images/10693-1.jpg,17.99
10694,Creative Supplement Bright,2015,Classic,,303,NA,http://images.brickset.com/sets/images/10694-1.jpg,17.99
10695,Creative Building Box,2015,Classic,,580,NA,http://images.brickset.com/sets/images/10695-1.jpg,19.99
10696,Medium Creative Brick Box,2015,Classic,,484,NA,http://images.brickset.com/sets/images/10696-1.jpg,24.99
10697,XXXL Box,2015,Classic,,1500,NA,http://images.brickset.com/sets/images/10697-1.jpg,49.99
10698,Large Creative Brick Box,2015,Classic,,790,NA,http://images.brickset.com/sets/images/10698-1.jpg,34.99
10699,32x32 Sand Baseplate,2015,Classic,,1,NA,http://images.brickset.com/sets/images/10699-1.jpg,6.99
10700,32x32 Green Baseplate,2015,Classic,,1,NA,http://images.brickset.com/sets/images/10700-1.jpg,6.99
10701,48x48 Grey Baseplate,2015,Classic,,1,NA,http://images.brickset.com/sets/images/10701-1.jpg,12.99
21022,Lincoln Memorial,2015,Architecture,Landmark Series,274,NA,http://images.brickset.com/sets/images/21022-1.jpg,24.99
21023,"Flatiron Building, New York",2015,Architecture,Landmark Series,471,NA,http://images.brickset.com/sets/images/21023-1.jpg,34.99
21024,Louvre,2015,Architecture,,695,NA,http://images.brickset.com/sets/images/21024-1.jpg,44.99
21119,The Dungeon,2015,Minecraft,,219,3,http://images.brickset.com/sets/images/21119-1.jpg,19.99
21120,The Snow Hideout,2015,Minecraft,,327,3,http://images.brickset.com/sets/images/21120-1.jpg,39.99
21121,The Desert Outpost,2015,Minecraft,,519,4,http://images.brickset.com/sets/images/21121-1.jpg,59.99
21122,The Nether Fortress,2015,Minecraft,,571,4,http://images.brickset.com/sets/images/21122-1.jpg,69.99
21301,Birds,2015,Ideas,,580,NA,http://images.brickset.com/sets/images/21301-1.jpg,39.99
21302,The Big Bang Theory,2015,Ideas,,484,7,http://images.brickset.com/sets/images/21302-1.jpg,49.99
21303,WALL-E,2015,Ideas,,677,NA,http://images.brickset.com/sets/images/21303-1.jpg,39.99
30202,Smoothie Stand,2015,Friends,,37,1,http://images.brickset.com/sets/images/30202-1.jpg,3.99
30204,Wish Fountain,2015,Friends,,44,1,http://images.brickset.com/sets/images/30204-1.jpg,NA
30256,Ice Bear Mech,2015,Legends of Chima,,39,1,http://images.brickset.com/sets/images/30256-1.jpg,NA
30272,A-Wing Starfighter,2015,Star Wars,,58,NA,http://images.brickset.com/sets/images/30272-1.jpg,NA
30274,AT-DP,2015,Star Wars,,65,NA,http://images.brickset.com/sets/images/30274-1.jpg,NA
30275,TIE Advanced Prototype,2015,Star Wars,Mini Building Set,47,NA,http://images.brickset.com/sets/images/30275-1.jpg,NA
30283,Off-Road,2015,Creator,,43,NA,http://images.brickset.com/sets/images/30283-1.jpg,NA
30285,Tiger,2015,Creator,,73,NA,http://images.brickset.com/sets/images/30285-1.jpg,NA
30291,Anacondrai Battle Mech,2015,Ninjago,,43,1,http://images.brickset.com/sets/images/30291-1.jpg,NA
30292,Jay Nano Mech,2015,Ninjago,,54,1,http://images.brickset.com/sets/images/30292-1.jpg,NA
30303,The Joker Bumper Car,2015,DC Comics Super Heroes,,47,1,http://images.brickset.com/sets/images/30303-1.jpg,NA
30311,Swamp Police Helicopter,2015,City,Swamp Police,51,1,http://images.brickset.com/sets/images/30311-1.jpg,NA
30313,Garbage Truck,2015,City,,48,1,http://images.brickset.com/sets/images/30313-1.jpg,NA
30314,Go-Kart Racer,2015,City,,45,1,http://images.brickset.com/sets/images/30314-1.jpg,NA
30315,Space Utility Vehicle,2015,City,Space Port,37,1,http://images.brickset.com/sets/images/30315-1.jpg,NA
31027,Blue Racer,2015,Creator,,67,NA,http://images.brickset.com/sets/images/31027-1.jpg,4.99
31028,Sea Plane,2015,Creator,,53,NA,http://images.brickset.com/sets/images/31028-1.jpg,4.99
31029,Cargo Heli,2015,Creator,,132,NA,http://images.brickset.com/sets/images/31029-1.jpg,9.99
31030,Red Go-Kart,2015,Creator,,106,NA,http://images.brickset.com/sets/images/31030-1.jpg,9.99
31031,Rainforest Animals,2015,Creator,,215,NA,http://images.brickset.com/sets/images/31031-1.jpg,12.99
31032,Red Creatures,2015,Creator,,221,NA,http://images.brickset.com/sets/images/31032-1.jpg,12.99
31033,Vehicle Transporter,2015,Creator,,264,NA,http://images.brickset.com/sets/images/31033-1.jpg,17.99
31034,Future Flyer,2015,Creator,,237,NA,http://images.brickset.com/sets/images/31034-1.jpg,17.99
31035,Beach Hut,2015,Creator,,286,2,http://images.brickset.com/sets/images/31035-1.jpg,19.99
31036,Toy & Grocery Shop,2015,Creator,,466,2,http://images.brickset.com/sets/images/31036-1.jpg,34.99
31037,Adventure Vehicles,2015,Creator,,282,NA,http://images.brickset.com/sets/images/31037-1.jpg,17.99
31038,Changing Seasons,2015,Creator,,536,2,http://images.brickset.com/sets/images/31038-1.jpg,39.99
31039,Blue Power Jet,2015,Creator,,608,NA,http://images.brickset.com/sets/images/31039-1.jpg,49.99
40120,Valentine's Day Dinner,2015,Seasonal,Valentines,114,2,http://images.brickset.com/sets/images/40120-1.jpg,8.49
40121,Painting Easter Eggs,2015,Seasonal,Easter,153,2,http://images.brickset.com/sets/images/40121-1.jpg,8.49
40122,Trick or Treat Halloween Set,2015,Seasonal,Halloween,133,NA,http://images.brickset.com/sets/images/40122-1.jpg,8.49
40140,Flower Cart,2015,Creator,,71,1,http://images.brickset.com/sets/images/40140-1.jpg,0.01
40153,Birthday Cake,2015,Miscellaneous,,120,NA,http://images.brickset.com/sets/images/40153-1.jpg,6.99
40154,Iconic Pencil Pot,2015,Creator,,174,2,http://images.brickset.com/sets/images/40154-1.jpg,10.99
40155,Piggy Coin Bank,2015,Miscellaneous,,148,NA,http://images.brickset.com/sets/images/40155-1.jpg,10.99
40156,Organiser,2015,Friends,,171,NA,http://images.brickset.com/sets/images/40156-1.jpg,12.99
40158,Pirates Chess Set,2015,Pirates,,857,20,http://images.brickset.com/sets/images/40158-1.jpg,45.99
41060,Sleeping Beauty's Royal Bedroom,2015,Disney Princess,Sleeping Beauty,96,1,http://images.brickset.com/sets/images/41060-1.jpg,11.99
41061,Jasmine's Exotic Palace,2015,Disney Princess,Aladdin,143,1,http://images.brickset.com/sets/images/41061-1.jpg,19.99
41062,Elsa's Sparkling Ice Castle,2015,Disney Princess,Frozen,292,3,http://images.brickset.com/sets/images/41062-1.jpg,34.99
41063,Ariel's Undersea Palace,2015,Disney Princess,The Little Mermaid,379,2,http://images.brickset.com/sets/images/41063-1.jpg,49.99
41071,Aira's Creative Workshop,2015,Elves,,98,1,http://images.brickset.com/sets/images/41071-1.jpg,9.99
41072,Naida's Spa Secret,2015,Elves,,249,1,http://images.brickset.com/sets/images/41072-1.jpg,17.99
41073,Naida's Epic Adventure Ship,2015,Elves,,312,2,http://images.brickset.com/sets/images/41073-1.jpg,24.99
41074,Azari and the Magical Bakery,2015,Elves,,324,2,http://images.brickset.com/sets/images/41074-1.jpg,24.99
41075,The Elves' Treetop Hideaway,2015,Elves,,505,3,http://images.brickset.com/sets/images/41075-1.jpg,39.99
41076,Farran and the Crystal Hollow,2015,Elves,,175,1,http://images.brickset.com/sets/images/41076-1.jpg,12.99
41077,Aira's Pegasus Sleigh,2015,Elves,,319,2,http://images.brickset.com/sets/images/41077-1.jpg,34.99
41078,Skyra's Mysterious Sky Castle,2015,Elves,,808,3,http://images.brickset.com/sets/images/41078-1.jpg,74.99
41085,Vet Clinic,2015,Friends,,192,1,http://images.brickset.com/sets/images/41085-1.jpg,17.99
41086,Vet Ambulance,2015,Friends,,89,1,http://images.brickset.com/sets/images/41086-1.jpg,9.99
41087,Bunny & Babies,2015,Friends,,47,NA,http://images.brickset.com/sets/images/41087-1.jpg,3.99
41088,Puppy Training,2015,Friends,,65,NA,http://images.brickset.com/sets/images/41088-1.jpg,3.99
41089,Little Foal,2015,Friends,,43,NA,http://images.brickset.com/sets/images/41089-1.jpg,3.99
41090,Olivia's Garden Pool,2015,Friends,,82,1,http://images.brickset.com/sets/images/41090-1.jpg,9.99
41091,Mia's Roadster,2015,Friends,,187,1,http://images.brickset.com/sets/images/41091-1.jpg,12.99
41092,Stephanie's Pizzeria,2015,Friends,,87,1,http://images.brickset.com/sets/images/41092-1.jpg,9.99
41093,Heartlake Hair Salon,2015,Friends,,318,2,http://images.brickset.com/sets/images/41093-1.jpg,24.99
41094,Heartlake Lighthouse,2015,Friends,,473,2,http://images.brickset.com/sets/images/41094-1.jpg,39.99
41095,Emma's House,2015,Friends,,706,3,http://images.brickset.com/sets/images/41095-1.jpg,59.99
41097,Heartlake Hot Air Balloon,2015,Friends,,254,2,http://images.brickset.com/sets/images/41097-1.jpg,24.99
41098,Emma's Tourist Kiosk,2015,Friends,,98,1,http://images.brickset.com/sets/images/41098-1.jpg,9.99
41099,Heartlake Skate Park,2015,Friends,,199,1,http://images.brickset.com/sets/images/41099-1.jpg,17.99
41100,Heartlake Private Jet,2015,Friends,,230,2,http://images.brickset.com/sets/images/41100-1.jpg,19.99
41101,Heartlake Grand Hotel,2015,Friends,,1552,5,http://images.brickset.com/sets/images/41101-1.jpg,99.99
41102,Friends Advent Calendar,2015,Friends,Seasonal,233,NA,http://images.brickset.com/sets/images/41102-1.jpg,19.99
41103,Pop Star Recording Studio,2015,Friends,,172,1,http://images.brickset.com/sets/images/41103-1.jpg,12.99
41104,Pop Star Dressing Room,2015,Friends,,279,2,http://images.brickset.com/sets/images/41104-1.jpg,24.99
41105,Pop Star Show Stage,2015,Friends,,446,2,http://images.brickset.com/sets/images/41105-1.jpg,34.99
41106,Pop Star Tour Bus,2015,Friends,,682,3,http://images.brickset.com/sets/images/41106-1.jpg,49.99
41107,Pop Star Limousine,2015,Friends,,265,2,http://images.brickset.com/sets/images/41107-1.jpg,19.99
41108,Heartlake Food Market,2015,Friends,,388,2,http://images.brickset.com/sets/images/41108-1.jpg,34.99
41109,Heartlake City Airport,2015,Friends,,692,3,http://images.brickset.com/sets/images/41109-1.jpg,74.99
41527,Rokit,2015,Mixels,Series 4,66,NA,http://images.brickset.com/sets/images/41527-1.jpg,2.99
41528,Niksput,2015,Mixels,Series 4,62,NA,http://images.brickset.com/sets/images/41528-1.jpg,2.99
41529,Nurp-Naut,2015,Mixels,Series 4,52,NA,http://images.brickset.com/sets/images/41529-1.jpg,2.99
41530,Meltus,2015,Mixels,Series 4,66,NA,http://images.brickset.com/sets/images/41530-1.jpg,2.99
41531,Flamzer,2015,Mixels,Series 4,60,NA,http://images.brickset.com/sets/images/41531-1.jpg,2.99
41532,Burnard,2015,Mixels,Series 4,59,NA,http://images.brickset.com/sets/images/41532-1.jpg,2.99
41533,Globert,2015,Mixels,Series 4,45,NA,http://images.brickset.com/sets/images/41533-1.jpg,2.99
41534,Vampos,2015,Mixels,Series 4,59,NA,http://images.brickset.com/sets/images/41534-1.jpg,2.99
41535,Boogly,2015,Mixels,Series 4,52,NA,http://images.brickset.com/sets/images/41535-1.jpg,2.99
41536,Gox,2015,Mixels,Series 5,62,NA,http://images.brickset.com/sets/images/41536-1.jpg,2.99
41537,Jinky,2015,Mixels,Series 5,59,NA,http://images.brickset.com/sets/images/41537-1.jpg,2.99
41538,Kamzo,2015,Mixels,Series 5,58,NA,http://images.brickset.com/sets/images/41538-1.jpg,2.99
41539,Krog,2015,Mixels,Series 5,60,NA,http://images.brickset.com/sets/images/41539-1.jpg,2.99
41540,Chilbo,2015,Mixels,Series 5,65,NA,http://images.brickset.com/sets/images/41540-1.jpg,2.99
41541,Snoof,2015,Mixels,Series 5,54,NA,http://images.brickset.com/sets/images/41541-1.jpg,2.99
41542,Spugg,2015,Mixels,Series 5,51,NA,http://images.brickset.com/sets/images/41542-1.jpg,2.99
41543,Turg,2015,Mixels,Series 5,56,NA,http://images.brickset.com/sets/images/41543-1.jpg,2.99
41544,Tungster,2015,Mixels,Series 5,60,NA,http://images.brickset.com/sets/images/41544-1.jpg,2.99
41545,Kramm,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41545-1.jpg,NA
41546,Forx,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41546-1.jpg,NA
41547,Wuzzo,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41547-1.jpg,NA
41548,Dribbal,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41548-1.jpg,NA
41549,Gurggle,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41549-1.jpg,NA
41550,Slusho,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41550-1.jpg,NA
41551,Snax,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41551-1.jpg,NA
41552,Berp,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41552-1.jpg,NA
41553,Vaka-Waka,2015,Mixels,Series 6,NA,NA,http://images.brickset.com/sets/images/41553-1.jpg,NA
42031,Cherry Picker,2015,Technic,,155,NA,http://images.brickset.com/sets/images/42031-1.jpg,7.99
42032,Compact Tracked Loader,2015,Technic,,252,NA,http://images.brickset.com/sets/images/42032-1.jpg,14.99
42033,Record Breaker,2015,Technic,,125,NA,http://images.brickset.com/sets/images/42033-1.jpg,17.99
42034,Quad Bike,2015,Technic,,148,NA,http://images.brickset.com/sets/images/42034-1.jpg,17.99
42035,Mining Truck,2015,Technic,,362,NA,http://images.brickset.com/sets/images/42035-1.jpg,24.99
42036,Street Motorcycle,2015,Technic,,375,NA,http://images.brickset.com/sets/images/42036-1.jpg,29.99
42037,Formula Off-Roader,2015,Technic,,494,NA,http://images.brickset.com/sets/images/42037-1.jpg,44.99
42038,Arctic Truck,2015,Technic,,913,NA,http://images.brickset.com/sets/images/42038-1.jpg,59.99
42039,24 Hours Race Car,2015,Technic,,1219,NA,http://images.brickset.com/sets/images/42039-1.jpg,99.99
42040,Fire Plane,2015,Technic,,578,NA,http://images.brickset.com/sets/images/42040-1.jpg,44.99
42041,Race Truck,2015,Technic,,608,NA,http://images.brickset.com/sets/images/42041-1.jpg,59.99
42042,Crawler Crane,2015,Technic,,1401,NA,http://images.brickset.com/sets/images/42042-1.jpg,109.99
42043,Mercedes-Benz Arocs 3245,2015,Technic,,2793,NA,http://images.brickset.com/sets/images/42043-1.jpg,169.99
45008,Math Train,2015,Education,Duplo,167,NA,http://images.brickset.com/sets/images/45008-1.jpg,NA
45517,Transformer 10V DC,2015,Mindstorms,,1,NA,http://images.brickset.com/sets/images/45517-1.jpg,NA
5002941,Bionicle Hero Pack,2015,Bionicle,,9,NA,http://images.brickset.com/sets/images/5002941-1.jpg,0.01
5004735,Spaceport and Jet,2015,City,Virtual Product Collection,1034,NA,http://images.brickset.com/sets/images/5004735-1.jpg,NA
5004736,City Space Port Starter & Shuttle Collection,2015,City,Virtual Product Collection,262,NA,http://images.brickset.com/sets/images/5004736-1.jpg,NA
5004737,Deep Sea Explorers Collection,2015,City,Virtual Product Collection,430,NA,http://images.brickset.com/sets/images/5004737-1.jpg,NA
5004809,Friends Pop Star Collection,2015,Friends,Virtual Product Collection,NA,NA,http://images.brickset.com/sets/images/5004809-1.jpg,NA
5004815,Marvel Super Heroes Collection,2015,Marvel Super Heroes,VIrtual Product Collection,NA,NA,http://images.brickset.com/sets/images/5004815-1.jpg,NA
5004816,Super Heroes DC Collection,2015,DC Comics Super Heroes,,NA,NA,http://images.brickset.com/sets/images/5004816-1.jpg,NA
5004817,Ninjago Collection,2015,Ninjago,Virtual Product Collection,NA,NA,http://images.brickset.com/sets/images/5004817-1.jpg,NA
5004818,Minecraft Collection,2015,Minecraft,Virtual Product Collection,NA,NA,http://images.brickset.com/sets/images/5004818-1.jpg,NA
5004819,Elves Collection,2015,Elves,Virtual Product Collection,NA,NA,http://images.brickset.com/sets/images/5004819-1.jpg,NA
5004820,Doc McStuffins Collection,2015,Duplo,Virtual Product Collection,NA,NA,http://images.brickset.com/sets/images/5004820-1.jpg,NA
60065,ATV Patrol,2015,City,Swamp Police,59,2,http://images.brickset.com/sets/images/60065-1.jpg,4.99
60066,Swamp Police Starter Set,2015,City,Swamp Police,78,4,http://images.brickset.com/sets/images/60066-1.jpg,8.99
60067,Helicopter Pursuit,2015,City,Swamp Police,253,3,http://images.brickset.com/sets/images/60067-1.jpg,24.99
60068,Crooks' Hideout,2015,City,Swamp Police,473,5,http://images.brickset.com/sets/images/60068-1.jpg,39.99
60069,Swamp Police Station,2015,City,Swamp Police,707,6,http://images.brickset.com/sets/images/60069-1.jpg,59.99
60070,Water Plane Chase,2015,City,Swamp Police,263,2,http://images.brickset.com/sets/images/60070-1.jpg,24.99
60071,Hovercraft Arrest,2015,City,Swamp Police,331,3,http://images.brickset.com/sets/images/60071-1.jpg,34.99
60072,Demolition Starter Set,2015,City,Construction,85,4,http://images.brickset.com/sets/images/60072-1.jpg,8.99
60073,Service Truck,2015,City,Construction,233,2,http://images.brickset.com/sets/images/60073-1.jpg,17.99
60074,Bulldozer,2015,City,Construction,384,2,http://images.brickset.com/sets/images/60074-1.jpg,24.99
60075,Excavator and Truck,2015,City,Construction,311,2,http://images.brickset.com/sets/images/60075-1.jpg,34.99
60076,Demolition Site,2015,City,Construction,776,5,http://images.brickset.com/sets/images/60076-1.jpg,59.99
60077,Space Starter Set,2015,City,Space Port,107,4,http://images.brickset.com/sets/images/60077-1.jpg,8.99
60078,Utility Shuttle,2015,City,Space Port,155,2,http://images.brickset.com/sets/images/60078-1.jpg,17.99
60079,Training Jet Transporter,2015,City,Space Port,448,3,http://images.brickset.com/sets/images/60079-1.jpg,39.99
60080,Spaceport,2015,City,Space Port,586,5,http://images.brickset.com/sets/images/60080-1.jpg,69.99
60081,Pickup Tow Truck,2015,City,Traffic,209,2,http://images.brickset.com/sets/images/60081-1.jpg,17.99
60082,Dune Buggy Trailer,2015,City,Traffic,222,2,http://images.brickset.com/sets/images/60082-1.jpg,17.99
60083,Snowplough Truck,2015,City,Traffic,196,1,http://images.brickset.com/sets/images/60083-1.jpg,17.99
60084,Racing Bike Transporter,2015,City,Traffic,178,2,http://images.brickset.com/sets/images/60084-1.jpg,17.99
60085,4x4 with Powerboat,2015,City,Traffic,301,2,http://images.brickset.com/sets/images/60085-1.jpg,24.99
60086,LEGO City Starter Set,2015,City,Traffic,242,5,http://images.brickset.com/sets/images/60086-1.jpg,19.99
60088,Fire Starter Set,2015,City,Fire,92,4,http://images.brickset.com/sets/images/60088-1.jpg,8.99
60090,Deep Sea Scuba Scooter,2015,City,Deep Sea Explorers,42,1,http://images.brickset.com/sets/images/60090-1.jpg,4.99
60091,Deep Sea Starter Set,2015,City,Deep Sea Explorers,90,3,http://images.brickset.com/sets/images/60091-1.jpg,8.99
60092,Deep Sea Submarine,2015,City,Deep Sea Explorers,274,3,http://images.brickset.com/sets/images/60092-1.jpg,24.99
60093,Deep Sea Helicopter,2015,City,Deep Sea Explorers,388,3,http://images.brickset.com/sets/images/60093-1.jpg,39.99
60095,Deep Sea Exploration Vessel,2015,City,Deep Sea Explorers,717,7,http://images.brickset.com/sets/images/60095-1.jpg,79.99
60096,Deep Sea Operation Base,2015,City,Deep Sea Explorers,907,NA,http://images.brickset.com/sets/images/60096-1.jpg,69.99
60097,City Square,2015,City,Traffic,1683,14,http://images.brickset.com/sets/images/60097-1.jpg,139.99
60098,Heavy-Haul Train,2015,City,Trains,984,5,http://images.brickset.com/sets/images/60098-1.jpg,139.99
60099,City Advent Calendar,2015,City,Seasonal,278,NA,http://images.brickset.com/sets/images/60099-1.jpg,19.99
70166,Spyclops Infiltration,2015,Ultra Agents,,109,2,http://images.brickset.com/sets/images/70166-1.jpg,9.99
70167,Invizable Gold Getaway,2015,Ultra Agents,,237,2,http://images.brickset.com/sets/images/70167-1.jpg,17.99
70168,Drillex Diamond Job,2015,Ultra Agents,,312,2,http://images.brickset.com/sets/images/70168-1.jpg,24.99
70169,Agent Stealth Patrol,2015,Ultra Agents,,475,4,http://images.brickset.com/sets/images/70169-1.jpg,39.99
70170,UltraCopter vs. AntiMatter,2015,Ultra Agents,,614,4,http://images.brickset.com/sets/images/70170-1.jpg,59.99
70171,Ultrasonic Showdown,2015,Ultra Agents,,187,2,http://images.brickset.com/sets/images/70171-1.jpg,NA
70172,AntiMatter's Portal Hideout,2015,Ultra Agents,,475,4,http://images.brickset.com/sets/images/70172-1.jpg,NA
70173,Ultra Agents Ocean HQ,2015,Ultra Agents,,1204,5,http://images.brickset.com/sets/images/70173-1.jpg,NA
70220,Strainor's Saber Cycle,2015,Legends of Chima,,161,2,http://images.brickset.com/sets/images/70220-1.jpg,12.99
70221,Flinx's Ultimate Phoenix,2015,Legends of Chima,,172,2,http://images.brickset.com/sets/images/70221-1.jpg,17.99
70222,Tormak's Shadow Blazer,2015,Legends of Chima,,311,3,http://images.brickset.com/sets/images/70222-1.jpg,29.99
70223,Icebite's Claw Driller,2015,Legends of Chima,,629,4,http://images.brickset.com/sets/images/70223-1.jpg,39.99
70224,Tiger's Mobile Command,2015,Legends of Chima,,712,6,http://images.brickset.com/sets/images/70224-1.jpg,59.99
70225,Bladvic's Rumble Bear,2015,Legends of Chima,,415,3,http://images.brickset.com/sets/images/70225-1.jpg,34.99
70226,Mammoth's Frozen Stronghold,2015,Legends of Chima,,621,5,http://images.brickset.com/sets/images/70226-1.jpg,49.99
70227,King Crominus' Rescue,2015,Legends of Chima,,863,6,http://images.brickset.com/sets/images/70227-1.jpg,69.99
70228,Vultrix's Sky Scavenger,2015,Legends of Chima,,480,3,http://images.brickset.com/sets/images/70228-1.jpg,34.99
70229, Lion Tribe Pack,2015,Legends of Chima,,78,3,http://images.brickset.com/sets/images/70229-1.jpg,7.99
70230,Ice Bear Tribe Pack,2015,Legends of Chima,,75,3,http://images.brickset.com/sets/images/70230-1.jpg,7.99
70231,Crocodile Tribe Pack,2015,Legends of Chima,,72,3,http://images.brickset.com/sets/images/70231-1.jpg,7.99
70232,Saber Tooth Tiger Tribe Pack,2015,Legends of Chima,,74,3,http://images.brickset.com/sets/images/70232-1.jpg,7.99
70409,Shipwreck Defence,2015,Pirates,,84,2,http://images.brickset.com/sets/images/70409-1.jpg,8.99
70410,Soldiers Outpost,2015,Pirates,,164,3,http://images.brickset.com/sets/images/70410-1.jpg,17.99
70411,Treasure Island,2015,Pirates,,181,3,http://images.brickset.com/sets/images/70411-1.jpg,17.99
70412,Soldiers Fort,2015,Pirates,,234,5,http://images.brickset.com/sets/images/70412-1.jpg,29.99
70413,The Brick Bounty,2015,Pirates,,745,7,http://images.brickset.com/sets/images/70413-1.jpg,79.99
70730,Chain Cycle Ambush,2015,Ninjago,,298,NA,http://images.brickset.com/sets/images/70730-1.jpg,24.99
70731,Jay Walker One,2015,Ninjago,,386,NA,http://images.brickset.com/sets/images/70731-1.jpg,29.99
70732,City of Stiix,2015,Ninjago,,1069,8,http://images.brickset.com/sets/images/70732-1.jpg,89.99
